,date_comendite,date_trachyte,rmse,bias,mae,smape,mare,hits,ratio
0,19620125-19620129,19620125-19620129,1.2953930459939942,0.463083290767752,0.9958698774930295,40.14504897689193,313.3825836847214,68.67469879518072,3.159999999999976
1,19620125-19620129,19680930-19681004,1.196091470159494,0.5782061751771715,0.9068957896788198,36.79058137051202,272.963958664017,68.67469879518072,2.789999999999984
2,19620125-19620129,19710409-19710413,1.1995904793519867,0.45367089488643525,0.9216157800156329,35.93419285760994,309.3773675107963,68.67469879518072,2.469999999999991
3,19620125-19620129,19760229-19760304,1.1686125952042976,0.4928062345424618,0.8666739678224824,34.58195499751519,288.93194049056655,68.67469879518072,2.4399999999999915
4,19620125-19620129,19771021-19771025,1.234528200220042,0.48912739566968894,0.94081736775927,37.35603418567538,290.63651520447877,68.67469879518072,2.739999999999985
5,19620125-19620129,19921030-19921103,1.2058462473370215,0.43912512310895374,0.9139623977921464,35.25386111984019,281.27426825943843,68.67469879518072,2.6199999999999877
6,19680930-19681004,19620125-19620129,1.2755837946905388,0.7355366277324635,0.9614446602354585,40.569942332281656,228.37790089666618,68.67469879518072,3.4799999999999693
7,19680930-19681004,19680930-19681004,1.3324096394246168,0.8506595121418832,1.044164011752407,47.0476628337893,211.38930286696853,68.67469879518072,4.199999999999954
8,19680930-19681004,19710409-19710413,1.2650152248819184,0.7261242318511468,0.9664270076096197,42.03696413527463,237.33565345047788,68.67469879518072,3.6999999999999647
9,19680930-19681004,19760229-19760304,1.2398868033251083,0.7652595715071732,0.9443550306125343,40.24083015865362,218.77239672734996,68.67469879518072,3.4699999999999696
10,19680930-19681004,19771021-19771025,1.2693354310823026,0.7615807326344005,0.9366467315107614,39.78948874261181,209.46300170919372,68.67469879518072,3.7499999999999636
11,19680930-19681004,19921030-19921103,1.2349478344600613,0.7115784600736653,0.927591725864359,39.31963012200768,206.08741096019892,68.67469879518072,3.1999999999999753
12,19710409-19710413,19620125-19620129,1.2139603429662333,0.5392879545493109,0.9459242835619963,39.491020951091635,447.4392777600125,68.67469879518072,2.7599999999999847
13,19710409-19710413,19680930-19681004,1.1804064871427422,0.6544108389587302,0.9014640443785671,38.04829458919992,414.8399099326066,68.67469879518072,2.8099999999999836
14,19710409-19710413,19710409-19710413,1.1588592099718007,0.5298755586679941,0.9028322950457964,38.71793871044777,452.08654371155995,68.67469879518072,2.6699999999999866
15,19710409-19710413,19760229-19760304,1.130391926966693,0.5690108983240205,0.8426150938479902,34.3435787833922,426.9419396999038,68.67469879518072,2.649999999999987
16,19710409-19710413,19771021-19771025,1.1679632460837999,0.5653320594512479,0.8948858417588036,37.43020785102858,426.71458665877617,68.67469879518072,2.599999999999988
17,19710409-19710413,19921030-19921103,1.1501886415528824,0.5153297868905126,0.8850225624699125,37.395723135601216,423.1387807809921,68.67469879518072,2.419999999999992
18,19760229-19760304,19620125-19620129,1.1630631002806056,0.5644605835731793,0.8368864460391662,35.10615124827671,210.41460890686693,68.67469879518072,2.559999999999989
19,19760229-19760304,19680930-19681004,1.148837517298028,0.6795834679825986,0.8520791806244247,35.986160724401905,182.3501092678055,68.67469879518072,2.96999999999998
20,19760229-19760304,19710409-19710413,1.1118477721586681,0.5550481876918626,0.8065636763229783,33.64587190893051,213.89754022436924,69.87951807228916,2.4899999999999904
21,19760229-19760304,19760229-19760304,1.1214125050173391,0.5941835273478889,0.7813922390775009,32.70639761289604,194.94560174628515,68.67469879518072,2.559999999999989
22,19760229-19760304,19771021-19771025,1.1091461256955861,0.5905046884751165,0.8089182799792866,32.77754805604927,189.9104913618378,68.67469879518072,2.279999999999995
23,19760229-19760304,19921030-19921103,1.108309566070463,0.5405024159143812,0.788728633588338,33.02894744084515,185.17871217542782,68.67469879518072,2.409999999999992
24,19771021-19771025,19620125-19620129,1.2719490616388514,0.46301545957448415,0.979514775022945,39.59685478137593,291.29981007872715,68.67469879518072,3.0399999999999787
25,19771021-19771025,19680930-19681004,1.193029321584295,0.5781383439839035,0.9013589521607138,37.45845402556461,251.8485246232852,68.67469879518072,2.7299999999999853
26,19771021-19771025,19710409-19710413,1.2064454862028868,0.4536030636931675,0.9284997811828827,37.89482611155925,291.1082440665428,68.67469879518072,2.6199999999999877
27,19771021-19771025,19760229-19760304,1.1373996799339676,0.4927384033491939,0.8529990828301086,33.294059575279924,265.50060536338646,68.67469879518072,2.3499999999999934
28,19771021-19771025,19771021-19771025,1.275654363127199,0.4890595644764212,0.9780032616209152,43.17966934761884,277.75750336154795,68.67469879518072,2.9599999999999804
29,19771021-19771025,19921030-19921103,1.1991499597608997,0.4390572919156859,0.925335644028527,37.90596373713635,264.6121948006128,68.67469879518072,2.7199999999999855
30,19921030-19921103,19620125-19620129,1.180545213474064,0.4776879949485509,0.9042530084595254,36.89362049105397,389.5750869405275,68.67469879518072,2.549999999999989
31,19921030-19921103,19680930-19681004,1.1342276756603635,0.5928108793579703,0.8607959488317379,35.794948467593116,356.7042397941383,68.67469879518072,2.6299999999999875
32,19921030-19921103,19710409-19710413,1.1266606208729433,0.4682755990672342,0.8754930126661109,36.808223079972215,394.9657036762446,68.67469879518072,2.4299999999999917
33,19921030-19921103,19760229-19760304,1.0939292077468714,0.5074109387232605,0.8059910511264121,32.611487803912574,369.8775634793609,68.67469879518072,2.329999999999994
34,19921030-19921103,19771021-19771025,1.1405174207083582,0.503732099850488,0.8693396783708939,36.18711512946209,370.87614425983236,68.67469879518072,2.409999999999992
35,19921030-19921103,19921030-19921103,1.1210171843405399,0.45372982728975253,0.861511570693304,36.29667383814482,367.01548172069516,68.67469879518072,2.2599999999999953
