date,field,rmse,bias,mae,smape,hits
19620125-19620129,forecast,5.905898139035197,-1.9376167675378269,2.1046430854041778,49.21663680780579,65.21739130434783
19620125-19620129,analysis,0.28876997192293574,0.026884708564661516,0.20018211685512757,40.48803600804545,65.21739130434783
19680930-19681004,forecast,0.4435268065133953,0.12357237425336681,0.2853876962491732,50.16075409307431,43.47826086956522
19680930-19681004,analysis,0.36593606440297366,0.11740822670706974,0.2350893471594229,45.438217920300076,60.86956521739131
19710409-19710413,forecast,0.42883012044792185,-0.1151291807429514,0.3314758612557575,47.19060264779271,69.56521739130434
19710409-19710413,analysis,0.2754022956532375,0.001839419842545993,0.21429893135214204,43.43332596442547,60.86956521739131
19760229-19760304,forecast,4.508005698516463,-1.464323043017831,1.6229824902857186,44.49769243276166,65.21739130434783
19760229-19760304,analysis,0.2609823590379624,0.030051246335638444,0.1556100907986051,35.77942945333312,73.91304347826086
19771021-19771025,forecast,0.5171079880969729,-0.08093798112799033,0.4195387045323644,55.5747347501773,52.17391304347826
19771021-19771025,analysis,0.35675576994259506,0.08276332843006765,0.2613912484407958,49.807201064319266,52.17391304347826
19921030-19921103,forecast,0.47814092909283706,-0.21735372153141305,0.3801649516341027,49.405028751196944,60.86956521739131
19921030-19921103,analysis,0.24667427277029333,0.0015942481696313655,0.18552811320581658,43.77094852461705,65.21739130434783
